School Year,State,District Code,District Name,School Code,School Name,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,410,183,19,9,4,0,183,12,0,221,189,94,89,12,7,6,3,3,1,0,0,98,85,8,4,0,0,44.63,4.63,2.20,0.98,0.00,44.63,2.93,0.00,53.90,46.10
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,174,25,5,3,1,0,122,18,0,87,87,16,9,1,4,1,2,1,0,0,0,58,64,10,8,0,0,14.37,2.87,1.72,0.57,0.00,70.11,10.34,0.00,50.00,50.00
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,23,4,4,0,1,0,14,0,0,16,7,1,3,3,1,0,0,1,0,0,0,11,3,0,0,0,0,17.39,17.39,0.00,4.35,0.00,60.87,0.00,0.00,69.57,30.43
2015,WA,14005,Aberdeen School District,3857,Harbor High School,116,23,6,1,2,0,76,8,0,64,52,14,9,3,3,0,1,2,0,0,0,42,34,3,5,0,0,19.83,5.17,0.86,1.72,0.00,65.52,6.90,0.00,55.17,44.83
2015,WA,14005,Aberdeen School District,3154,Hopkins Elementary,42,10,0,0,1,0,26,5,0,26,16,6,4,0,0,0,0,1,0,0,0,15,11,4,1,0,0,23.81,0.00,0.00,2.38,0.00,61.90,11.90,0.00,61.90,38.10
2015,WA,14005,Aberdeen School District,3476,J M Weatherwax High School,910,225,38,33,15,5,568,26,0,477,433,122,103,16,22,18,15,12,3,3,2,295,273,11,15,0,0,24.73,4.18,3.63,1.65,0.55,62.42,2.86,0.00,52.42,47.58
2015,WA,14005,Aberdeen School District,2449,McDermoth Elementary,373,112,14,7,3,0,215,22,0,177,196,49,63,8,6,4,3,1,2,0,0,104,111,11,11,0,0,30.03,3.75,1.88,0.80,0.00,57.64,5.90,0.00,47.45,52.55
2015,WA,14005,Aberdeen School District,2305,Miller Junior High,442,117,20,11,3,3,278,10,0,218,224,62,55,8,12,4,7,0,3,0,3,140,138,4,6,0,0,26.47,4.52,2.49,0.68,0.68,62.90,2.26,0.00,49.32,50.68
2015,WA,14005,Aberdeen School District,2763,Robert Gray Elementary,303,102,8,2,2,0,168,21,0,147,156,46,56,3,5,2,0,1,1,0,0,83,85,12,9,0,0,33.66,2.64,0.66,0.66,0.00,55.45,6.93,0.00,48.51,51.49
2015,WA,14005,Aberdeen School District,2971,Stevens Elementary School,477,158,32,19,10,2,228,28,0,250,227,78,80,17,15,9,10,3,7,1,1,129,99,13,15,0,0,33.12,6.71,3.98,2.10,0.42,47.80,5.87,0.00,52.41,47.59
2015,WA,21226,Adna School District,2227,Adna Elementary School,246,16,1,3,2,0,223,1,0,132,114,11,5,1,0,2,1,0,2,0,0,117,106,1,0,0,0,6.50,0.41,1.22,0.81,0.00,90.65,0.41,0.00,53.66,46.34
2015,WA,21226,Adna School District,2441,Adna Middle/High School,366,19,2,1,1,0,330,13,0,191,175,7,12,1,1,0,1,1,0,0,0,178,152,4,9,0,0,5.19,0.55,0.27,0.27,0.00,90.16,3.55,0.00,52.19,47.81
2015,WA,22017,Almira School District,2860,Almira Elementary School,115,8,0,2,1,0,100,4,0,63,52,4,4,0,0,0,2,1,0,0,0,55,45,3,1,0,0,6.96,0.00,1.74,0.87,0.00,86.96,3.48,0.00,54.78,45.22
2015,WA,29103,Anacortes School District,2467,Anacortes High School,811,66,10,28,14,1,686,6,0,400,411,29,37,7,3,20,8,6,8,0,1,335,351,3,3,0,0,8.14,1.23,3.45,1.73,0.12,84.59,0.74,0.00,49.32,50.68
2015,WA,29103,Anacortes School District,2707,Anacortes Middle School,425,30,3,24,7,2,351,8,0,236,189,14,16,0,3,13,11,3,4,1,1,200,151,5,3,0,0,7.06,0.71,5.65,1.65,0.47,82.59,1.88,0.00,55.53,44.47
2015,WA,29103,Anacortes School District,5176,Cap Sante High School,54,4,1,0,0,0,48,1,0,22,32,1,3,0,1,0,0,0,0,0,0,20,28,1,0,0,0,7.41,1.85,0.00,0.00,0.00,88.89,1.85,0.00,40.74,59.26
