School Year,State,District Code,District Name,School Code,School Name,Grade,Total,Hispanic / Latino of any race(s),American Indian / Alaskan Native,Asian,Black / African American,Native Hawaiian / Other Pacific Islander,White,Two or More Races,Not Provided*,Male,Female,Hispanic / Latino of any race(s)_M,Hispanic / Latino of any race(s)_F,American Indian / Alaskan Native_M,American Indian / Alaskan Native_F,Asian_M,Asian_F,Black / African American_M,Black / African American_F,Native Hawaiian / Other Pacific Islander_M,Native Hawaiian / Other Pacific Islander_F,White_M,White_F,Two or More Races_M,Two or More Races_F,Not Provided_M*,Not Provided_F*,% Hispanic / Latino of any race(s),% American Indian / Alaskan Native,% Asian,% Black / African American,% Native Hawaiian / Other Pacific Islander,% White,% Two or More Races,% Not Provided*,% Male,% Female
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,PK,2,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,100.00,0.00
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,K1,70,34,5,0,1,0,29,1,0,35,35,18,16,4,1,0,0,1,0,0,0,11,18,1,0,0,0,48.57,7.14,0.00,1.43,0.00,41.43,1.43,0.00,50.00,50.00
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,1,46,22,3,0,0,0,18,3,0,23,23,11,11,2,1,0,0,0,0,0,0,8,10,2,1,0,0,47.83,6.52,0.00,0.00,0.00,39.13,6.52,0.00,50.00,50.00
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,2,66,26,0,3,0,0,36,1,0,33,33,11,15,0,0,2,1,0,0,0,0,20,16,0,1,0,0,39.39,0.00,4.55,0.00,0.00,54.55,1.52,0.00,50.00,50.00
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,3,59,26,3,0,1,0,27,2,0,33,26,14,12,2,1,0,0,0,1,0,0,15,12,2,0,0,0,44.07,5.08,0.00,1.69,0.00,45.76,3.39,0.00,55.93,44.07
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,4,45,21,3,1,0,0,19,1,0,29,16,13,8,1,2,1,0,0,0,0,0,14,5,0,1,0,0,46.67,6.67,2.22,0.00,0.00,42.22,2.22,0.00,64.44,35.56
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,5,60,21,2,4,1,0,30,2,0,29,31,8,13,2,0,3,1,1,0,0,0,13,17,2,0,0,0,35.00,3.33,6.67,1.67,0.00,50.00,3.33,0.00,48.33,51.67
2015,WA,14005,Aberdeen School District,2834,A J West Elementary,6,62,32,3,1,1,0,23,2,0,37,25,18,14,1,2,0,1,1,0,0,0,16,7,1,1,0,0,51.61,4.84,1.61,1.61,0.00,37.10,3.23,0.00,59.68,40.32
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,PK,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,K1,25,4,1,0,0,0,15,5,0,14,11,4,0,1,0,0,0,0,0,0,0,6,9,3,2,0,0,16.00,4.00,0.00,0.00,0.00,60.00,20.00,0.00,56.00,44.00
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,1,25,2,0,0,0,0,21,2,0,13,12,1,1,0,0,0,0,0,0,0,0,10,11,2,0,0,0,8.00,0.00,0.00,0.00,0.00,84.00,8.00,0.00,52.00,48.00
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,2,21,5,0,1,0,0,13,2,0,10,11,3,2,0,0,1,0,0,0,0,0,6,7,0,2,0,0,23.81,0.00,4.76,0.00,0.00,61.90,9.52,0.00,47.62,52.38
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,3,30,7,0,0,1,0,18,4,0,19,11,4,3,0,0,0,0,1,0,0,0,11,7,3,1,0,0,23.33,0.00,0.00,3.33,0.00,60.00,13.33,0.00,63.33,36.67
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,4,21,0,0,0,0,0,20,1,0,9,12,0,0,0,0,0,0,0,0,0,0,9,11,0,1,0,0,0.00,0.00,0.00,0.00,0.00,95.24,4.76,0.00,42.86,57.14
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,5,21,4,1,1,0,0,14,1,0,8,13,2,2,0,1,0,1,0,0,0,0,5,9,1,0,0,0,19.05,4.76,4.76,0.00,0.00,66.67,4.76,0.00,38.10,61.90
2015,WA,14005,Aberdeen School District,3216,Central Park Elementary,6,30,3,3,1,0,0,20,3,0,13,17,2,1,0,3,0,1,0,0,0,0,10,10,1,2,0,0,10.00,10.00,3.33,0.00,0.00,66.67,10.00,0.00,43.33,56.67
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,8,4,2,1,0,1,0,0,0,0,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,50.00,25.00,0.00,25.00,0.00,0.00,0.00,0.00,50.00,50.00
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,9,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,10,9,1,1,0,0,0,7,0,0,7,2,0,1,1,0,0,0,0,0,0,0,6,1,0,0,0,0,11.11,11.11,0.00,0.00,0.00,77.78,0.00,0.00,77.78,22.22
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,11,3,1,1,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,33.33,33.33,0.00,0.00,0.00,33.33,0.00,0.00,66.67,33.33
2015,WA,14005,Aberdeen School District,4267,Grays Harbor Juvenile Detention,12,5,0,1,0,0,0,4,0,0,3,2,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0.00,20.00,0.00,0.00,0.00,80.00,0.00,0.00,60.00,40.00
2015,WA,14005,Aberdeen School District,3857,Harbor High School,9,3,0,0,0,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,66.67,33.33
2015,WA,14005,Aberdeen School District,3857,Harbor High School,10,12,2,1,0,2,0,5,2,0,4,8,0,2,0,1,0,0,2,0,0,0,2,3,0,2,0,0,16.67,8.33,0.00,16.67,0.00,41.67,16.67,0.00,33.33,66.67
2015,WA,14005,Aberdeen School District,3857,Harbor High School,11,26,6,1,0,0,0,16,3,0,17,9,4,2,1,0,0,0,0,0,0,0,10,6,2,1,0,0,23.08,3.85,0.00,0.00,0.00,61.54,11.54,0.00,65.38,34.62
2015,WA,14005,Aberdeen School District,3857,Harbor High School,12,75,15,4,1,0,0,52,3,0,41,34,10,5,2,2,0,1,0,0,0,0,28,24,1,2,0,0,20.00,5.33,1.33,0.00,0.00,69.33,4.00,0.00,54.67,45.33
2015,WA,14005,Aberdeen School District,3154,Hopkins Elementary,PK,42,10,0,0,1,0,26,5,0,26,16,6,4,0,0,0,0,1,0,0,0,15,11,4,1,0,0,23.81,0.00,0.00,2.38,0.00,61.90,11.90,0.00,61.90,38.10
2015,WA,14005,Aberdeen School District,3476,J M Weatherwax High School,7,3,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0.00,0.00,0.00,0.00,0.00,66.67,33.33,0.00,33.33,66.67
